county,type,facility_name,street_address,city,state,zip,location,lat,long
Queens,Grocery w/ Pharmacy inside,Stop & Shop #2581,Cross Bay Blvd,Howard Beach,NY,11414,"Cross Bay Blvd
Howard Beach, NY 11414
(40.6464207, -73.836795229)",40.6464207,-73.836795229
Kings,Grocery w/ Pharmacy inside,ShopRite Of Avenue I,Mcdonald Avenue,Brooklyn,NY,11230,"Mcdonald Avenue
Brooklyn, NY 11230
(40.619242962, -73.975014383)",40.619242962,-73.975014383
Bronx,Grocery w/ Pharmacy inside,Stop & Shop #504,Co-Op City Blvd,Bronx,NY,10475,"Co-Op City Blvd
Bronx, NY 10475
(40.878351856, -73.822690366)",40.878351856,"-Op City Blvd
Bronx, NY 10475
(40.878351856, -73.822690366"
Bronx,Grocery w/ Pharmacy inside,Benjamin's Pharmacy & Surgical,Allerton Avenue,Bronx,NY,10469,"Allerton Avenue
Bronx, NY 10469
(40.865430017, -73.855045845)",40.865430017,-73.855045845
Queens,Grocery w/ Pharmacy inside,Horizon Pharmacy,Kissena Bo,Flushing,NY,11355,"Kissena Bo
Flushing, NY 11355
(40.755328445, -73.824509811)",40.755328445,-73.824509811
Queens,Grocery w/ Pharmacy inside,Stop & Shop #2585,Springfield Blvd,Springfield Garden,NY,11413,"Springfield Blvd
Springfield Garden, NY 11413
(40.674962968, -73.756031906)",40.674962968,-73.756031906
Kings,Grocery w/ Pharmacy inside,Health Max Pharmacy,5th Avenue,Brooklyn,NY,11220,"5th Avenue
Brooklyn, NY 11220
(40.641173283, -74.014396236)",40.641173283,-74.014396236
Queens,Grocery w/ Pharmacy inside,Stop & Shop #2587,Farrington St,Flushing,NY,11354,"Farrington St
Flushing, NY 11354
(40.766871519, -73.832759266)",40.766871519,-73.832759266
Richmond,Grocery w/ Pharmacy inside,Stop & Shop #581,Hylan Blvd.,Staten Island,NY,10306,"Hylan Blvd.
Staten Island, NY 10306
(40.562493009, -74.117891604)",40.562493009,-74.117891604
Kings,Grocery w/ Pharmacy inside,Stop & Shop #505,Avenue Y,Brooklyn,NY,11235,"Avenue Y
Brooklyn, NY 11235
(40.590685644, -73.949270384)",40.590685644,-73.949270384
Queens,Grocery w/ Pharmacy inside,Super Stop & Shop #566,Rockaway Beach Boulevard,Arverne,NY,11692,"Rockaway Beach Boulevard
Arverne, NY 11692
(40.592465001, -73.784219997)",40.592465001,-73.784219997
Queens,Grocery w/ Pharmacy inside,Stop & Shop #509,Grand Avenue,Maspeth,NY,11378,"Grand Avenue
Maspeth, NY 11378
(40.721883665, -73.904333203)",40.721883665,-73.904333203
New York,Grocery w/ Pharmacy inside,Preferred Pharmacy,East 115th Street,New York,NY,10029,"East 115th Street
New York, NY 10029
(40.79717979, -73.940302841)",40.79717979,-73.940302841
Bronx,Grocery w/ Pharmacy inside,Stop & Shop #2592,Bartow Avenue,Bronx,NY,10475,"Bartow Avenue
Bronx, NY 10475
(40.869620005, -73.827368075)",40.869620005,-73.827368075
Kings,Grocery w/ Pharmacy inside,Stop & Shop #2591,Cropsey Av,Brooklyn,NY,11214,"Cropsey Av
Brooklyn, NY 11214
(40.596311752, -73.997517972)",40.596311752,-73.997517972
Kings,Grocery w/ Pharmacy inside,"Newkirk Pharmacy, Inc.",Newkirk Avenue,Brooklyn,NY,11226,"Newkirk Avenue
Brooklyn, NY 11226
(40.639249383, -73.955581241)",40.639249383,-73.955581241
Bronx,Grocery w/ Pharmacy inside,Stop & Shop #2593,East 174th Street,Bronx,NY,10460,"East 174th Street
Bronx, NY 10460
(40.836372162, -73.884819878)",40.836372162,-73.884819878
Kings,Grocery w/ Pharmacy inside,Preferred Pharmacy,Broadway,Brooklyn,NY,11207,"Broadway
Brooklyn, NY 11207
(40.683079269, -73.910795599)",40.683079269,-73.910795599
Kings,Grocery w/ Pharmacy inside,Bocker Pharmacy & Food Mart Inc.,Knickerbocker Avenue,Brooklyn,NY,11237,"Knickerbocker Avenue
Brooklyn, NY 11237
(40.702568662, -73.92497553)",40.702568662,-73.92497553
Kings,Grocery w/ Pharmacy inside,Green Forest Market Inc,Avenue M,Brooklyn,NY,11230,"Avenue M
Brooklyn, NY 11230
(40.617677031, -73.963010685)",40.617677031,-73.963010685
Kings,Grocery w/ Pharmacy inside,Dumont Pharmacy,Junius St,Brooklyn,NY,11212,"Junius St
Brooklyn, NY 11212
(40.666248997, -73.902103271)",40.666248997,-73.902103271
Richmond,Grocery w/ Pharmacy inside,Stop & Shop #2595,Forest Avenue,Staten Island,NY,10302,"Forest Avenue
Staten Island, NY 10302
(40.626374486, -74.133144751)",40.626374486,-74.133144751
Queens,Grocery w/ Pharmacy inside,Stop & Shop #2589,Atlantic Ave,Ozone Park,NY,11416,"Atlantic Ave
Ozone Park, NY 11416
(40.687206444, -73.851904411)",40.687206444,-73.851904411
Kings,Grocery w/ Pharmacy inside,Stop & Shop #2586,Atlantic Ave,Brooklyn,NY,11217,"Atlantic Ave
Brooklyn, NY 11217
(40.684660213, -73.979005505)",40.684660213,-73.979005505
New York,Pharmacy Only,Duane Reade #14246,Avenue Of The Americas,New York,NY,10001,"Avenue Of The Americas
New York, NY 10001
(40.745943777, -73.990597072)",40.745943777,-73.990597072
Kings,Pharmacy Only,Best Care Pharmacy,3rd Ave,Brooklyn,NY,11209,"3rd Ave
Brooklyn, NY 11209
(40.624059334, -74.030818893)",40.624059334,-74.030818893
Bronx,Pharmacy Only,Your Family Pharmacy Corp,Ogden Avenue,Bronx,NY,10452,"Ogden Avenue
Bronx, NY 10452
(40.837015744, -73.927069735)",40.837015744,-73.927069735
Queens,Pharmacy Only,Walgreens #01616,Broadway,Elmhurst,NY,11373,"Broadway
Elmhurst, NY 11373
(40.742797206, -73.882595005)",40.742797206,-73.882595005
New York,Pharmacy Only,Duane Reade #14386,Main St,New York,NY,10044,"Main St
New York, NY 10044
(40.763652168, -73.948171943)",40.763652168,-73.948171943
Kings,Pharmacy Only,Duane Reade #14429,Kent Ave,Brooklyn,NY,11249,"Kent Ave
Brooklyn, NY 11249
(40.711302743, -73.968317023)",40.711302743,-73.968317023
Kings,Pharmacy Only,Whitman Pharmacy,Myrtle Ave,Brooklyn,NY,11205,"Myrtle Ave
Brooklyn, NY 11205
(40.693123863, -73.969930633)",40.693123863,-73.969930633
Queens,Pharmacy Only,Queens Express Pharmacy Corp.,Junction Blvd,Jackson Heights,NY,11372,"Junction Blvd
Jackson Heights, NY 11372
(40.756780017, -73.873629968)",40.756780017,-73.873629968
New York,Pharmacy Only,"Bowen Pharmacy, Inc",10th Avenue,New York,NY,10019,"10th Avenue
New York, NY 10019
(40.766930622, -73.990156649)",40.766930622,-73.990156649
Richmond,Pharmacy Only,Walgreens #03916,Arthur Kill Rd,Staten Island,NY,10312,"Arthur Kill Rd
Staten Island, NY 10312
(40.563821547, -74.188442828)",40.563821547,-74.188442828
Kings,Pharmacy Only,Duane Reade #14426,Bedford Ave,Brooklyn,NY,11249,"Bedford Ave
Brooklyn, NY 11249
(40.716387165, -73.959279469)",40.716387165,-73.959279469
Queens,Pharmacy Only,Bakers Drugs Llc,Linden Boulevard,Saint Albans,NY,11412,"Linden Boulevard
Saint Albans, NY 11412
(40.693496627, -73.755703679)",40.693496627,-73.755703679
Kings,Pharmacy Only,"Eliyahu's Pharmacy, Inc.",Kings Highway,Brooklyn,NY,11223,"Kings Highway
Brooklyn, NY 11223
(40.60513316, -73.979811784)",40.60513316,-73.979811784
Queens,Pharmacy Only,Health Center Pharmacy Inc.,Beach Channel Drive,Arverne,NY,11692,"Beach Channel Drive
Arverne, NY 11692
(40.589827743, -73.804805186)",40.589827743,-73.804805186
Kings,Pharmacy Only,Medcare Pharmacy,Kings Highway,Brooklyn,NY,11223,"Kings Highway
Brooklyn, NY 11223
(40.60513316, -73.979811784)",40.60513316,-73.979811784
Queens,Pharmacy Only,Walgreens #19425,Utopia Pkwy,Whitestone,NY,11357,"Utopia Pkwy
Whitestone, NY 11357
(40.785813168, -73.795115864)",40.785813168,-73.795115864
Queens,Pharmacy Only,Franhill Pharmacy Llc,Hillside Ave,Hollis,NY,11423,"Hillside Ave
Hollis, NY 11423
(40.715809986, -73.771550038)",40.715809986,-73.771550038
New York,Pharmacy Only,Duane Reade #14382,W 135th St,New York,NY,10030,"W 135th St
New York, NY 10030
(40.815634253, -73.944461666)",40.815634253,-73.944461666
Bronx,Pharmacy Only,Leroy Pharmacy Ii Llc,East 198 Street,Bronx,NY,10458,"East 198 Street
Bronx, NY 10458
(40.868292404, -73.888022416)",40.868292404,-73.888022416
Queens,Pharmacy Only,Variety Drugs,137th Ave,Jamaica,NY,11434,"137th Ave
Jamaica, NY 11434
(40.672203859, -73.773337697)",40.672203859,-73.773337697
New York,Pharmacy Only,Duane Reade #14102,Broadway,New York,NY,10007,"Broadway
New York, NY 10007
(40.712520006, -74.00767001)",40.712520006,-74.00767001
Richmond,Pharmacy Only,Walgreens #07321,Forest Ave,Staten Island,NY,10310,"Forest Ave
Staten Island, NY 10310
(40.626720868, -74.12797407)",40.626720868,-74.12797407
